# N  version  workers  time(s)
10 serial 1 0.24884013199971378
10 openmp 1 0.10295977700116055
10 openmp 2 0.13630026100145187
10 openmp 4 0.16864319699925545
10 mpi 1 0.12665395400000001
10 mpi 2 0.14694507300000001
10 mpi 4 0.15545002599999999
100 serial 1 1.8133748350010137
100 openmp 1 2.5409655229996133
100 openmp 2 2.1722238399997877
100 openmp 4 1.8986563519993069
100 mpi 1 2.7195097779999999
100 mpi 2 1.9578284040000000
100 mpi 4 1.1230417950000000
500 serial 1 7.3545549310001661
500 openmp 1 15.994842516000062
500 openmp 2 10.589303826998730
500 openmp 4 7.6188888460001181
500 mpi 1 17.832346462000000
500 mpi 2 8.2144411450000003
500 mpi 4 4.8347312080000000
1000 serial 1 18.387576851000631
1000 openmp 1 52.641044922998844
1000 openmp 2 31.466390703000798
1000 openmp 4 18.165794805001497
1000 mpi 1 50.830968613000003
1000 mpi 2 17.885865212999999
1000 mpi 4 10.007424133000001
5000 serial 1 168.51770577800016
5000 openmp 1 398.66228880600102
5000 openmp 2 213.05516839600023
5000 openmp 4 182.06715096900007
5000 mpi 1 397.04533291799999
5000 mpi 2 52.155983519999999
5000 mpi 4 148.97805565600001
